App,Rating,Size,Installs,Category
BK Arogyam Task Track,1.0,0.03691813804173355,9.9000000099e-08,C
CP Installer App,1.0,0.23993539450853324,9.9000000099e-08,C
Florida Beach Wallpapers HD,1.0,0.11992519364145952,9.9000000099e-08,C
Foothills CP,1.0,0.07792162333798373,9.9000000099e-08,C
HON. B.J. ACS COLLEGE ALE,1.0,0.01791652290444688,9.9000000099e-08,C
Florida Wildflowers,1.0,0.6899736477600595,9.99000000999e-07,C
BJ Foods,1.0,0.014916267882770036,9.000000009000001e-09,C
Read it easy for BK,1.0,0.031917713005605475,4.9000000049000004e-08,C
BK Video Status,1.0,0.02091677792612372,9.9000000099e-08,C
BK Formula Calculator,1.0,0.10992434356920339,9.9000000099e-08,C
Dr Bk Sachin bhai,1.0,0.03091762799837986,9.99000000999e-07,C
Bk Usha behn,1.0,0.029917542991154247,9.99000000999e-07,C
Girls Live Talk - Free Text and Video Chat,1.0,0.049919243135666536,9.9000000099e-08,C
BK Gold App,1.0,0.10992434356920339,4.9000000049000004e-08,C
BL Flowers Digital,1.0,0.02491711795502618,9.9000000099e-08,C
Wallpapers FN SCAR H,1.0,0.09192281343914233,9.9000000099e-08,C
FN,1.0,0.03291779801283109,4.9000000049000004e-08,C
BM SPM Practice,1.0,0.09192281343914233,9.99000000999e-07,C
BM Physiotherapy Clinic,1.0,0.09292289844636795,9.9000000099e-08,C
CN Resident,1.0,0.6399693973987789,9.9000000099e-08,C
BM speed test,1.0,0.03691813804173355,9.000000009000001e-09,C
Hojiboy Tojiboyev Life Hacks,1.0,0.3699464454478631,9.99000000999e-07,C
BP Log lite,1.0,0.014916267882770036,9.9000000099e-08,C
CP Trivia,1.0,0.11992519364145952,9.9000000099e-08,C
"Beacon Baptist Jupiter, FL",1.0,0.025917202962251792,9.9000000099e-08,C
"Trinity Church Deltona, FL",1.0,0.2799387947975578,4.99000000499e-07,C
South Florida AA Meetings,1.0,0.20993284429176481,9.99000000999e-07,C
Spine- The dating app,1.0,0.09292289844636795,4.99000000499e-07,C
Exam Result BD,1.0,0.025917202962251792,4.99000000499e-07,C
Awake Dating,1.0,0.6999744978323157,9.9000000099e-08,C
American Girls Mobile Numbers,1.0,0.043918733092312846,9.99000000999e-07,C
Helping BD,1.0,0.04491881809953846,9.9000000099e-08,C
Movement BE,1.0,0.011916012861093193,9.9000000099e-08,C
CS & IT Interview Questions,1.0,0.03291779801283109,9.99000000999e-07,C
CR Tracker for Chests,1.0,0.04491881809953846,4.9000000049000004e-08,C
Cr Aviation Academy,1.0,0.21993369436402097,9.9000000099e-08,C
ReactNative BG Geolocation,1.0,0.09092272843191672,9.99000000999e-07,C
BG Guide,1.0,0.02391703294780056,9.9000000099e-08,C
FK CLASSIC FOR YOU,1.0,0.034917968027282316,9.000000009000001e-09,C
FK Dedinje BGD,1.0,0.025917202962251792,9.9000000099e-08,C
iReadMe,1.0,0.21993369436402097,9.9000000099e-08,C
CricQuick,1.0,0.014916267882770036,4.9000000049000004e-08,C
Bh Public School,1.0,0.08692238840301426,9.000000009000001e-09,C
Barbers.BH,1.0,0.05992009320792267,9.000000009000001e-09,C
CQ ESPM,1.0,0.0339178830200567,4.000000004e-09,C
BI News,1.0,0.2499362445807894,9.99000000999e-07,C
Propel BI APP,1.0,0.22993454443627712,9.9000000099e-08,C
BI APP,1.0,0.026917287969477406,9.9000000099e-08,C
DG TV,1.0,0.05691983818624583,9.9000000099e-08,C
DH-UFO,1.0,0.5899651470374981,9.9000000099e-08,C
Bar-B-Q Rib House,1.0,0.32994304515883854,4.9000000049000004e-08,C
NEMA ei,1.0,0.11992519364145952,9.9000000099e-08,C
Ek Qissa He Quran Se (Qurani Waqiyat),1.0,0.019916692918898107,9.9000000099e-08,C
Asha Ek Hope - ALS/ MND,1.0,0.10992434356920339,9.9000000099e-08,C
Ek Vote,1.0,0.0619202632223739,4.99000000499e-07,C
Hum Ek Hain 2.02,1.0,0.01791652290444688,9.000000009000001e-09,C
Ek Bander Ne Kholi Dukan,1.0,0.029917542991154247,9.999000009999e-06,C
Pyaar Ek Dhoka,1.0,0.012916097868318809,4.9000000049000004e-08,C
EK Bailey Preaching Conference,1.0,0.2999404949420701,4.99000000499e-07,C
EJ messenger,1.0,0.2499362445807894,9.000000009000001e-09,C
"Kolkata News:Anandbazar Patrika,ei samay&AllRating",1.0,0.049919243135666536,9.9000000099e-08,C
ei Calc,1.0,0.18993114414725254,9.000000009000001e-09,C
Eh Bee Wallpapers HD,1.0,0.03891830805618478,9.9000000099e-08,C
Shabad Gurubani Punjabi mp3 free - Ek Onkar Satnam,1.0,0.6399693973987789,9.9000000099e-08,C
EG India,1.0,0.03991839306341039,9.9000000099e-08,C
ADS-B Driver,1.0,0.06292034822959952,9.9000000099e-08,C
EF Academy,1.0,0.14992774385822796,4.9000000049000004e-08,C
EF App,1.0,0.1999319942195087,9.9000000099e-08,C
EF Forms,1.0,0.22993454443627712,4.9000000049000004e-08,C
EF Events,1.0,0.043918733092312846,9.9000000099e-08,C
EC Mover,1.0,0.045918903106764074,9.000000009000001e-09,C
EC Fairgrounds,1.0,0.054919668171794604,4.99000000499e-07,C
EC SPORTS,1.0,0.06292034822959952,9.000000009000001e-09,C
Victoria EC,1.0,0.037918223048959164,4.99000000499e-07,C
Lyrics of Ek Paheli Leela,1.0,0.022916947940574948,4.99000000499e-07,C
EP Church Annapolis,1.0,0.08792247341023987,9.9000000099e-08,C
D-H Pharmacy,1.0,0.022916947940574948,9.99000000999e-07,C
FoothillsVet,1.0,0.28993964486981394,4.9000000049000004e-08,C
daskal.eu,1.0,0.14992774385822796,4.9000000049000004e-08,C
EU Exit poll,1.0,0.09392298345359355,9.9000000099e-08,C
ES Solar,1.0,0.04691898811398969,9.9000000099e-08,C
Sway Medical,1.0,0.21993369436402097,9.9000000099e-08,C
ES Billing System (Offline App),1.0,0.04191856307786162,9.9000000099e-08,C
Labs on Demand,1.0,0.21993369436402097,9.000000009000001e-09,C
Dermatology Atlas (Colored & Illustrative),1.0,0.1999319942195087,9.9000000099e-08,C
Tablet Reminder,1.0,0.02491711795502618,4.000000004e-09,C
Galaxies of Hope,1.0,0.23993539450853324,4.9000000049000004e-08,C
KBA-EZ Health Guide,1.0,0.2499362445807894,0.0,C
PrimeDelivery,1.0,0.5299600466039613,9.000000009000001e-09,C
EP Radio,1.0,0.0014551236855132686,4.9000000049000004e-08,C
You're an Anime,1.0,0.8299855487716455,9.000000009000001e-09,C
Anatomy & Physiology Vocabulary Exam Review App,1.0,0.045918903106764074,4.000000004e-09,C
NCLEX Multi-topic Nursing Exam Review-Quiz & notes,1.0,0.04191856307786162,9.000000009000001e-09,C
Basics of Orthopaedics,1.0,0.05591975317902022,9.000000009000001e-09,C
Clinic Doctor EHr,1.0,0.07092102828740443,4.000000004e-09,C
Dr. ES PV Calculator,1.0,0.10992434356920339,4.99000000499e-07,C
420 BZ Budeze Delivery,1.0,0.10992434356920339,9.9000000099e-08,C
BP Journal - Blood Pressure Diary,1.0,0.25993709465304554,9.99000000999e-07,C
Zen Leaf,1.0,0.060920178215148287,9.9000000099e-08,C
ER Assist,1.0,0.2799387947975578,9.000000009000001e-09,C
EC Calgary,1.0,0.08092187835966057,9.9000000099e-08,C
EB Cash Collections,1.0,0.04291864808508723,4.000000004e-09,C
UP EB Bill Payment & Details,1.0,0.02391703294780056,4.9000000049000004e-08,C
PK and DK Audio App,1.0,0.03891830805618478,9.9000000099e-08,C
DM Buddy » Learn Digital Marketing,1.0,0.016916437897221262,4.99000000499e-07,C
Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,1.0,0.0339178830200567,9.99000000999e-07,C
DL Image Manager,1.0,0.016916437897221262,9.000000009000001e-09,C
Noticias FC Barcelona,1.0,0.03091762799837986,9.9000000099e-08,C
Lakeside AG Moultrie,1.0,0.08592230339578864,4.9000000049000004e-08,C
Eternal Light AG,1.0,0.1299260437137157,9.9000000099e-08,C
Ag Valley Cooperative,1.0,0.7399778981213403,4.99000000499e-07,C
Chenoweth AH,1.0,0.2699379447253017,9.9000000099e-08,C
Arrowhead AH App,1.0,0.2799387947975578,9.9000000099e-08,C
Kimbrough AH,1.0,0.2799387947975578,9.9000000099e-08,C
AI Today : Artificial Intelligence News & AI 101,1.0,0.022916947940574948,9.9000000099e-08,C
EB Scanner,1.0,0.2499362445807894,4.9000000049000004e-08,C
AJ Cam,1.0,0.02791737297670302,9.9000000099e-08,C
Hey AJ! It's Saturday!,1.0,0.49995749638719295,9.9000000099e-08,C
Selfie With Champion AJ Style,1.0,0.07492136831630689,4.99000000499e-07,C
AJ RETAILS,1.0,0.0016051364365971107,9.000000009000001e-09,C
Hey AJ! It's Bedtime!,1.0,0.6299685473265227,9.000000009000001e-09,C
AJ Men's Grooming,1.0,0.21993369436402097,9.9000000099e-08,C
Super Hearing Secret Voices Recorder PRO,1.0,0.22993454443627712,9.9000000099e-08,C
AJ Gray Dark Icon Pack,1.0,0.3499447453033508,9.000000009000001e-09,C
AJ Blue Icon Pack,1.0,0.30994134501432624,4.9000000049000004e-08,C
AJ Rafael Music Lessons,1.0,0.08192195336603611,9.000000009000001e-09,C
Disciple Maker’s (DM) Lab,1.0,0.03991839306341039,9.9000000099e-08,C
DN Blog,1.0,0.04191856307786162,9.000000009000001e-09,C
DN Employee,1.0,0.037918223048959164,9.000000009000001e-09,C
DN Calculators,1.0,0.0076656515803843325,9.9000000099e-08,C
i am EB,1.0,0.05391958316456899,9.000000009000001e-09,C
chat dz,1.0,0.28993964486981394,9.9000000099e-08,C
DYPSOET,1.0,0.07392128330908128,4.9000000049000004e-08,C
Cloud DX Connected Health,1.0,0.10992434356920339,9.9000000099e-08,C
FA Player Essentials,1.0,0.6799727976878035,9.9000000099e-08,C
Santa's Monster Shootout DX,1.0,0.32994304515883854,4.9000000049000004e-08,C
Chronolink DX,1.0,0.7299770480490841,9.000000009000001e-09,C
P-Home for KLWP,1.0,0.11992519364145952,9.9000000099e-08,C
RETRO Shocked DW-6000,1.0,0.004915417810513894,9.9000000099e-08,C
DW Timer,1.0,0.014916267882770036,9.9000000099e-08,C
Android P Style Icon Pack,1.0,0.5999659971097543,9.9000000099e-08,C
DW Security,1.0,0.14992774385822796,9.9000000099e-08,C
Eternal life,1.0,0.02491711795502618,9.99000000999e-07,C
DV Youth,1.0,0.14992774385822796,9.9000000099e-08,C
R Programing Offline Tutorial,1.0,0.03891830805618478,9.99000000999e-07,C
DV ASSIST,1.0,0.1799302940749964,9.9000000099e-08,C
Spring flowers theme couleurs d t space,1.0,0.028917457983928634,9.9000000099e-08,C
Dt. Jyothi Srinivas,1.0,0.1299260437137157,9.9000000099e-08,C
DT CLOTHINGS,1.0,0.07892170834520934,9.000000009000001e-09,C
WPBS-DT,1.0,0.06292034822959952,4.99000000499e-07,C
Easy Hotspot Ad Free,1.0,0.03291779801283109,9.000000009000001e-09,C
MI-BP,1.0,0.11992519364145952,4.9000000049000004e-08,C
Story Time FD,1.0,0.04191856307786162,9.000000009000001e-09,C
FHR 5-Tier 2.0,1.0,0.011916012861093193,4.99000000499e-07,C
COMSATS BOOK STORE FOR BS(CS),1.0,0.9399948995664631,4.9000000049000004e-08,C
Overcomers CF - GA,1.0,0.10992434356920339,9.9000000099e-08,C
CL REPL,1.0,0.16992944400274027,9.99000000999e-07,C
CF,1.0,0.019916692918898107,9.9000000099e-08,C
CA Speakers,1.0,0.011916012861093193,9.9000000099e-08,C
CF Townsville,1.0,0.1399268937859718,9.9000000099e-08,C
CJ's Coffee Cafe,1.0,0.02391703294780056,4.99000000499e-07,C
"Startupticker.ch News, Events",1.0,0.09992349349694725,9.9000000099e-08,C
The CJ Rubric,1.0,0.42995154588139994,9.9000000099e-08,C
BU Study,1.0,0.05591975317902022,9.000000009000001e-09,C
CL Strength,1.0,0.39994899566463155,4.9000000049000004e-08,C
BS-Mobile,1.0,0.006745573373736768,4.9000000049000004e-08,C
Color CL,1.0,0.012916097868318809,9.9000000099e-08,C
CG Prints,1.0,0.022916947940574948,9.9000000099e-08,C
Mu.F.O.,1.0,0.15992859393048411,0.0,C
CL Notifier,1.0,0.031917713005605475,9.9000000099e-08,C
Barisal University App-BU Face,1.0,0.09992349349694725,9.99000000999e-07,C
BV Mobile Apps,1.0,0.0479190731212153,9.9000000099e-08,C
CG Jobs,1.0,0.1399268937859718,9.000000009000001e-09,C
Mad Dash Fo' Cash,1.0,0.15992859393048411,9.9000000099e-08,C
CG - Chemistry free,1.0,0.022916947940574948,9.99000000999e-07,C
CG FM,1.0,0.06592060325127636,4.99000000499e-07,C
BV,1.0,0.01591635288999565,9.9000000099e-08,C
GKPB FP Online Church,1.0,0.07892170834520934,9.99000000999e-07,C
CJ Gospel Hour,1.0,0.1799302940749964,9.9000000099e-08,C
CJ'S TIRE AND AUTO INC.,1.0,0.10992434356920339,9.9000000099e-08,C
BV Sridhara Maharaj,1.0,0.026917287969477406,9.9000000099e-08,C
Bacterial vaginosis Treatment - Sexual disease,1.0,0.05892000820069706,4.99000000499e-07,C
Tic Tac CK,1.0,0.1299260437137157,9.000000009000001e-09,C
Unity CF,1.0,0.0829220483741118,9.9000000099e-08,C
CF Life,1.0,0.0829220483741118,9.9000000099e-08,C
Jabbla BT,1.0,0.0004650395283599106,9.9000000099e-08,C
C B Patel Health Club,1.0,0.1399268937859718,9.9000000099e-08,C
CE Smart,1.0,0.28993964486981394,9.9000000099e-08,C
BxPort - Bitcoin Bx (Thailand),1.0,0.040918468069785933,4.9000000049000004e-08,C
Yazdani Cd Center EllahAbad Official App,1.0,0.037918223048959164,4.99000000499e-07,C
Monster Ride Pro,1.0,0.23993539450853324,9.000000009000001e-09,C
Fr. Mike Schmitz Audio Teachings,1.0,0.03591805303450794,9.9000000099e-08,C
CD CHOICE TUBE,1.0,0.057919923193471445,4.99000000499e-07,C
MCQ CE IT,1.0,0.03591805303450794,9.99000000999e-07,C
CB Heroes,1.0,0.01791652290444688,4.000000004e-09,C
Cb browser,1.0,0.03691813804173355,4.9000000049000004e-08,C
CB Register,1.0,0.05591975317902022,9.000000009000001e-09,C
CK Employee Portal,1.0,0.14992774385822796,9.99000000999e-07,C
USMLE Step 2 CK Flashcards,1.0,0.39994899566463155,9.000000009000001e-09,C
CB News,1.0,0.1999319942195087,4.9000000049000004e-08,C
CL Keyboard - Myanmar Keyboard (No Ads),1.0,0.031917713005605475,4.999000004999e-06,C
Brick Breaker BR,1.0,0.18993114414725254,4.000000004e-09,C
CI 174 Gray Icon Pack,1.0,0.4599540960981684,9.000000009000001e-09,C
FO Bixby,1.0,0.008525724686598362,9.9000000099e-08,C
Fr. Daoud Lamei,1.0,0.08592230339578864,9.99000000999e-07,C
CB VIDEO VISION,1.0,0.025917202962251792,9.9000000099e-08,C
211:CK,1.0,0.37994729552011924,9.000000009000001e-09,C
CB Fit,1.0,0.07792162333798373,9.000000009000001e-09,C
Wifi BT Scanner,1.0,0.011916012861093193,4.99000000499e-07,C
Trovami se ci riesci,1.0,0.060920178215148287,9.000000009000001e-09,C
Nur təfsiri 1-ci cild,1.0,0.013916182875544423,9.99000000999e-07,C
CJ the REALTOR,1.0,0.04191856307786162,9.000000009000001e-09,C
Sir C J New Primary School,1.0,0.09192281343914233,9.9000000099e-08,C
DC Comics Amino,0.9750000000000001,0.6299685473265227,9.99000000999e-07,C
Mummatikabalkuragi,0.9750000000000001,0.003255276698519374,9.99000000999e-07,C
AO/OTA Fracture Classification,0.9750000000000001,0.4599540960981684,4.999000004999e-06,C
FG On-The-Go,0.9750000000000001,0.2499362445807894,9.99000000999e-07,C
Sufara.ba,0.9750000000000001,0.2499362445807894,9.999000009999e-06,C
Wallpaper.cz,0.9750000000000001,0.021916862933349334,9.9000000099e-08,C
Doctor Finder CY,0.9750000000000001,0.060920178215148287,9.99000000999e-07,C
Sago Mini Hat Maker,0.9750000000000001,0.6299685473265227,9.99000000999e-07,C
FH App,0.9750000000000001,0.05992009320792267,9.9000000099e-08,C
eBoox new: Reader for fb2 epub zip books,0.9750000000000001,0.20993284429176481,4.9999000049999e-05,C
"Learn Japanese, Korean, Chinese Offline & Free",0.9750000000000001,0.25993709465304554,0.000999999000999999,C
Tour BD (Bahir Dar Map),0.9750000000000001,0.03891830805618478,9.9000000099e-08,C
BT Church,0.9750000000000001,0.08392213338133742,9.99000000999e-07,C
FREE LIVE TALK,0.9750000000000001,0.048919158128440915,4.999000004999e-06,C
BD Internet Package Activator,0.9750000000000001,0.022916947940574948,9.9000000099e-08,C
Be My Eyes - Helping the blind,0.9750000000000001,0.20993284429176481,0.000499999000499999,C
BG Future School,0.9750000000000001,0.09992349349694725,9.9000000099e-08,C
FK Željezničar,0.9750000000000001,0.1999319942195087,9.999000009999e-06,C
FK Crvena zvezda,0.9750000000000001,0.14992774385822796,9.999000009999e-06,C
DF-Server Mobile,0.9750000000000001,0.7599795982658526,9.9000000099e-08,C
Six Pack in 30 Days - Abs Workout,0.9750000000000001,0.1299260437137157,0.009999999009999998,C
FD VR Music Videos - MTV Pop and Rap in 360,0.9750000000000001,0.25993709465304554,9.99000000999e-07,C
BTS j-hope LINE Launcher theme,0.9750000000000001,0.037918223048959164,9.999000009999e-06,C
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,0.9750000000000001,0.32994304515883854,9.999900009999899e-05,C
Fr Ignacio Outreach,0.9750000000000001,0.18993114414725254,9.99000000999e-07,C
MHD F-Series,0.9750000000000001,0.22993454443627712,9.99000000999e-07,C
EC Tax,0.9750000000000001,0.03091762799837986,4.99000000499e-07,C
Hungry Hearts Diner: A Tale of Star-Crossed Souls,0.9750000000000001,0.5599625968207297,0.000499999000499999,C
Aaj Bangla: ei samay er khobor,0.9750000000000001,0.037918223048959164,9.99000000999e-07,C
The Room: Old Sins,0.9750000000000001,0.47995579624268064,9.999900009999899e-05,C
White Noise for Baby,0.9750000000000001,0.06592060325127636,9.999900009999899e-05,C
Ek Onkar,0.9750000000000001,0.1799302940749964,9.999000009999e-06,C
Duaa Ek Ibaadat,0.9750000000000001,0.25993709465304554,4.999000004999e-06,C
Ek Onkar Mantras,0.9750000000000001,0.049919243135666536,4.999000004999e-06,C
Alex Fuel Calculator for EK,0.9750000000000001,0.03291779801283109,4.99000000499e-07,C
Sai Baba - Sabka Malik Ek,0.9750000000000001,0.37994729552011924,9.99000000999e-07,C
Sanu Ek Pal Chain Song Videos - RAID Movie Songs,0.9750000000000001,0.04291864808508723,4.999000004999e-06,C
EY Forensics,0.9750000000000001,0.0339178830200567,9.99000000999e-07,C
EP Horlogerie,0.9750000000000001,0.23993539450853324,9.99000000999e-07,C
Pediatric Nursing,0.9750000000000001,0.06992094328017881,9.9000000099e-08,C
VetCode,0.9750000000000001,0.05691983818624583,4.999000004999e-06,C
Eddsworld Amino,0.9750000000000001,0.6299685473265227,9.999000009999e-06,C
Égalité et Réconciliation,0.9750000000000001,0.037918223048959164,4.99000000499e-07,C
EV Calculator,0.9750000000000001,0.18993114414725254,9.99000000999e-07,C
H*nest Meditation,0.9750000000000001,0.47995579624268064,4.999000004999e-06,C
K-Otic Universe,0.9750000000000001,0.39994899566463155,9.99000000999e-07,C
AK Lodi Films,0.9750000000000001,0.02091677792612372,9.9000000099e-08,C
Tuberculose Dz,0.9750000000000001,0.060920178215148287,9.99000000999e-07,C
Legit Check App by Ch Daniel,0.9750000000000001,0.08092187835966057,9.99000000999e-07,C
FAV KWGT,0.9750000000000001,0.6599710975432912,9.99000000999e-07,C
Las Vegas Lights FC,0.9750000000000001,0.1399268937859718,4.99000000499e-07,C
"ipsy: Makeup, Beauty, and Tips",0.9750000000000001,0.1399268937859718,0.000999999000999999,C
PixPanda - Color by Number Pixel Art Coloring Book,0.9750000000000001,0.1399268937859718,0.000999999000999999,C
Diabetes mellitus (DM) from zero to hero,0.9750000000000001,0.029917542991154247,9.99000000999e-07,C
Burnley FC,0.9750000000000001,0.28993964486981394,4.999000004999e-06,C
Lose Belly Fat in 30 Days - Flat Stomach,0.9750000000000001,0.10992434356920339,0.0049999990049999984,C
FC Porto,0.9750000000000001,0.20993284429176481,9.999900009999899e-05,C
Solitaire: Decked Out Ad Free,0.9750000000000001,0.3499447453033508,0.000499999000499999,C
Down Dog: Great Yoga Anywhere,0.9750000000000001,0.11992519364145952,0.000499999000499999,C
DQSalmaan - A fan made App,0.9750000000000001,0.05992009320792267,9.999000009999e-06,C
DS,0.9750000000000001,0.22993454443627712,9.9000000099e-08,C
Tickets + PDA 2018 Exam,0.9750000000000001,0.37994729552011924,0.000999999000999999,C
News: DW Hausa,0.9750000000000001,0.06292034822959952,9.99000000999e-07,C
DW Audio,0.9750000000000001,0.049919243135666536,9.99000000999e-07,C
DMV Permit Practice Test 2018 Edition,0.9750000000000001,0.2699379447253017,9.999900009999899e-05,C
CDL Practice Test 2018 Edition,0.9750000000000001,0.16992944400274027,9.999900009999899e-05,C
KPS CHAUHAN DY/DX,0.9750000000000001,0.09992349349694725,9.9000000099e-08,C
M+,0.9750000000000001,0.09092272843191672,9.999000009999e-06,C
EXO-L Amino for EXO Fans,0.9750000000000001,0.6699719476155473,4.9999000049999e-05,C
FK Željezničar Izzy,0.9750000000000001,0.16992944400274027,9.99000000999e-07,C
StrongLifts 5x5 Workout Gym Log & Personal Trainer,0.9750000000000001,0.09992349349694725,0.000999999000999999,C
Sisense Mobile BI,0.9750000000000001,0.2799387947975578,9.99000000999e-07,C
BM Pharmacy,0.9750000000000001,0.1799302940749964,9.99000000999e-07,C
BatControl Pro,0.9750000000000001,0.03091762799837986,4.99000000499e-07,C
"Borneo Bible, BM Bible",0.9750000000000001,0.049919243135666536,9.999000009999e-06,C
Canvas FL,0.9750000000000001,0.09392298345359355,9.99000000999e-07,C
Business Mitra (BM),0.9750000000000001,0.05291949815734338,9.9000000099e-08,C
Aquarium Co-Op Podcast,0.9750000000000001,0.03891830805618478,9.99000000999e-07,C
Br Shafi,0.9750000000000001,0.25993709465304554,9.999000009999e-06,C
BL Taxi,0.9750000000000001,0.0339178830200567,9.99000000999e-07,C
Official Madhuban Murli,0.9750000000000001,0.2499362445807894,9.999000009999e-06,C
Word Hunt,0.9750000000000001,0.20993284429176481,4.99000000499e-07,C
Br Browser,0.9750000000000001,0.02491711795502618,4.99000000499e-07,C
Business Intelligence & Data,0.9750000000000001,0.034917968027282316,9.99000000999e-07,C
FG VOC,0.95,0.07692153833075811,9.99000000999e-07,C
DB for Hustle Castle,0.95,0.4899566463149368,9.99000000999e-07,C
OnePlus Icon Pack,0.95,0.009115774840861474,0.000499999000499999,C
cm to inches | centimeters to inches conversion,0.95,0.018916607911672493,4.999000004999e-06,C
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",0.95,0.3499447453033508,0.0049999990049999984,A
Materialistic P Wallpapers,0.95,0.03591805303450794,9.99000000999e-07,C
Pixel Oreo/P Dark White AMOLED UI - Icon Pack,0.95,0.15992859393048411,4.999000004999e-06,C
BZ Reminder PRO,0.95,0.05391958316456899,9.99000000999e-07,C
Free Books - Spirit Fanfiction and Stories,0.95,0.049919243135666536,0.000999999000999999,C
BW-Go,0.95,0.012916097868318809,9.99000000999e-07,C
World Racers family board game,0.95,0.4199506958091438,9.9000000099e-08,C
German Listening,0.95,0.07992179335243496,0.000499999000499999,C
K keyboard - Myanmar,0.95,0.1399268937859718,9.999900009999899e-05,C
Q Avatar Pro,0.95,0.03591805303450794,9.9000000099e-08,C
Hactar Go,0.95,0.034917968027282316,9.99000000999e-07,C
Tickets SDA 2019 + Exam RF,0.95,0.16992944400274027,0.000499999000499999,C
CI Capital - Dynamic,0.95,0.05091932814289215,4.9000000049000004e-08,C
